ProductID,Amount
1,850
9,0
13,10951
26,0
30,288972
39,390960
43,450559
47,249062
56,591136
60,146304
73,2728056
77,539370
86,0
90,0
103,1544208
107,128229
119,767536
123,327672
136,3860736
140,1394064
149,8470716
153,0
166,3132384
170,500820
183,2943108
187,324150
196,3221680
200,2023680
213,551932
217,46820
226,4179980
229,2471823
230,310242
233,785723
246,15350625
250,4386200
259,12236910
263,3834514
276,53039844
280,23624930
289,7279708
293,8696079
297,7982424
306,13613954
310,148428
323,849147
327,2139604
336,6445085
340,4651571
353,539790
357,401571
369,720662
373,339382
383,19496
386,480511
390,4698299
399,2522603
403,2956102
416,374256
420,230143
433,304403
437,163809
446,769405
450,494046
463,17946311
467,7626904
476,3571659
479,16720732
480,2449426
483,3585551
500,759300
